text,label,text_length
Irvouyatenga-Silmi-Mossi,village,24
Tansoba-Kiema-Silmiougou,village,24
Goulgountou-Kelchatmane,village,23
Mantiogonia-Tangassogo,village,22
Balanmangui-Yarguideni,village,22
Oussaltan-Banguel-Daou,village,22
Bangassila-Silmi-Mossi,village,22
Koukabanko-Silmi-Mossi,village,22
Sikorla-Dierikandougou,village,22
Bantoana (de Kotchari),village,22
Pognankoudougou-Rabogo,village,22
Nongofaire-Silmi-Mossi,village,22
Doumpoabie-Tangassogo,village,21
Kolonkan-Goure-Diallo,village,21
Silmiougou-Boumboundi,village,21
Mankarga-Traditionnel,village,21
Mankilinia-Tangassogo,village,21
Pemboanga-De-Namounou,village,21
Tanghin-Kossodo-Peulh,village,21
Bandiedaga-Gourmatche,village,21
Nacouendougou-Dinyala,village,21
Bantoana (de Kabouga),village,21
Ouavousse-Silmi-Mossi,village,21
Kadjoaga-Mossidjoadin,village,21
Pemboanga-De-Partiaga,village,21
ZoungouwayeSecteur 1,village,20
Bangassi-Mamoudougou,village,20
Gongombili-Papoulona,village,20
Banguel-Daou-Didiole,village,20
Deibanga-Timbossosso,village,20
Kiryollo-Ouro-Arsaba,village,20
Pioukouri-Tangassogo,village,20
Doubguin-Ouantanguin,village,20
Yendjoaga-Gourmatche,village,20
Ouada-Traditionnelle,village,20
Ouediabie-Tangassogo,village,20
Kandega-Silmi-Mossi,village,19
Papayenga-Diambanga,village,19
Rondoma-Silmi-Mossi,village,19
Bilanga-Yanga-Peulh,village,19
Kayegue-Silmi-Mossi,village,19
Silindouo-Rintimina,village,19
Bidi-Rimaibe-Todiam,village,19
Barthiebougou-Peulh,village,19
Kontigue-Silmimossi,village,19
Kalsaka-Silmi-Mossi,village,19
Berenga-Silmi-Mossi,village,19
Irvouya-Tenga-Mossi,village,19
Napagbteng-Gounghin,village,19
Sebretenga-De-Godin,village,19
Babirka-Tangassouka,village,19
Pentinga-Gourmatche,village,19
Tangarsi-Tangsougou,village,19
Toutou-Doundougorou,village,19
Baskoudre-Pousnodin,village,19
Labola-Koumoussanra,village,19
Gandafabou-Guelgobe,village,19
Ouorobie-Tangassogo,village,19
Napamboumbou-Saabin,village,19
Sorgho-Silmi-Mossi,village,18
Gongombili-Gongone,village,18
Sabouri-Tensobdogo,village,18
Tankolon-Tiopanaon,village,18
Kipala-De-Dassanga,village,18
Boussera-Chef-Lieu,village,18
Ouonko-Silmi-Mossi,village,18
Outoum-Silmi-Mossi,village,18
Nioniokodogo-Mossi,village,18
Deibanga-Tafororat,village,18
Nioniokodogo-Peulh,village,18
Bidi-Rimaibe-Thiou,village,18
Babirka-Ouro-Demoa,village,18
Gongombili-Kpovera,village,18
Boundou-Woudoundou,village,18
Pogoro-Silmi-Mossi,village,18
Bandaga-Naba-Peulh,village,18
Kolonkani-Sirakoro,village,18
Boureye-Longondjou,village,18
Boundou-Woundoudou,village,18
Gandafabou-Kelwele,village,18
Tampouy-Silmimosse,village,18
Gombre-Silmi-Mossi,village,18
Boundoudoum-Zougou,village,18
Bonkolou-Tolkahoun,village,18
Koende-Zingdemissi,village,18
Tantiaka-Kouadigou,village,18
Tindane-De-Bilanga,village,18
Toussian-Bandougou,village,18
Samandin-Bilbalogo,village,18
Pabre-Saint-Joseph,village,18
Lantaogo-Tamassogo,village,18
Mantiabjoaga-Peulh,village,18
Sanspelga-Marance,village,17
Barkoudouba-Mossi,village,17
Kodjoani-Kankalsi,village,17
Koulgandogo-Peulh,village,17
Gandeongo-Bogodin,village,17
Koukabanko-Baloum,village,17
Boulmiougou-Peulh,village,17
Boulmiougou-Mossi,village,17
Oualgatenga-Peulh,village,17
Roffo-Silmi-Mossi,village,17
village de Diallo,village,17
Koumestenga-Peulh,village,17
Karangasso-Sambla,departement,17
Mogom-Silmi-Mossi,village,17
Kpengnouanfouanou,village,17
Kipala-De-Gnetaya,village,17
Bekora-Kpantionao,village,17
Villy-Siguivousse,village,17
Babirka-Ouro-Esso,village,17
Godin-Oualogtinga,village,17
Tongomayel-Sirgue,village,17
Kalmana-Signoghin,village,17
Piega-Gourmantche,village,17
Pickoutenga-Peulh,village,17
Oussaltan-Dongobe,village,17
Doungou-Nabitenga,village,17
Ganzaga-De-Sangha,village,17
Boucle du Mouhoun,region,17
Gongombili-Yefara,village,17
Koumestenga-Mossi,village,17
Touka-Aguillanabe,village,17
Zeguedeguin-Mossi,village,17
Zeguedeguin-Peulh,village,17
Karangasso-Sambla,village,17
Pelinka-Youmboura,village,17
Dimpaltenga-Peulh,village,17
Babirka-Ouro-Sory,village,17
Kokossin-Nabikome,village,17
Zouma-Silmi-Mossi,village,17
Bangkiemde-Bangre,village,17
Takaledougou-Koko,village,17
Tourgo-Silmimosse,village,17
Tapre-Silmi-Mossi,village,17
Bidi-Peulh-Todiam,village,17
Bondokoro-Dogosse,village,17
Kolonkan-Goure-Ba,village,17
Villy-Yalagtinga,village,16
Timboura-Birifor,village,16
Gourgou-Samandin,village,16
Soubeira-Natenga,village,16
Kampti-Chef-Lieu,village,16
Nongfaire-Bangre,village,16
Soubeira-Nakoara,village,16
Gnimassom-Foulbe,village,16
Soubakaniedougou,village,16
Andemtenga-Peulh,village,16
Bondokoro-Dioula,village,16
Bandiedaga-Lerel,village,16
Gondogo-Tandaaga,village,16
Fadar-Fadar-NORD,village,16
Gninboadin-Diabo,village,16
Mendrintoutoghin,village,16
Touka-Ouro-Nalla,village,16
Kankamogre-Peulh,village,16
Soubagagnedougou,village,16
Sourtatibe-Touka,village,16
Nakomstenga-Peul,village,16
Karangasso-Vigué,departement,16
Baskoudre-Teongo,village,16
Kohinora-Sansana,village,16
Massade-Yirikoro,village,16
Karangasso-Vigue,village,16
Soubakaniédougou,departement,16
Gountoure-Gnegne,village,16
Kaongo De Sangha,village,16
village de Guide,village,16
Tonora-Djolokera,village,16
Welde-Tondobanda,village,16
Dondombene-Mossi,village,16
Tountana-Seboura,village,16
village de Monde,village,16
Sanbin-Nabitenga,village,16
Tokera-Tiemourou,village,16
Dondombene-Peulh,village,16
Boangtenga-Peulh,village,16
Thiaossan-Koporo,village,16
Sidoumoukar-Hiro,village,16
Dollo-Tangassogo,village,16
Tintog-Nabitenga,village,16
Banga-Tangassogo,village,16
Imiougou-Natenga,village,16
Tanghin-Dassouri,departement,16
Bellare-Djamalel,village,16
Zomkalga-Marance,village,16
Noungou-De-Sanga,village,16
Somnayalka-Peulh,village,16
Nambouna-Boptara,village,16
Nongofaire-Peulh,village,16
Silmiougou-Yarce,village,16
village de Peulh,village,16
Silmiougou-Peulh,village,16
Yerifoula-Dioula,village,16
Koukabanko-Yarce,village,16
Sabouri-Pousguin,village,16
Kamdaogo-Goudrin,village,16
Bilanperga-Peulh,village,16
Oussoupera-Feteo,village,16
Yougpankoudougou,village,16
Bangassila-Mossi,village,16
Kiougou-Namounou,village,16
Bema-Silmi-Mossi,village,16
Yalou-Gouroungho,village,16
Konzeogo-Sambila,village,16
Konzeogo-Bangane,village,16
Gbadora-Tiopanao,village,16
Manegtaba-Foulbe,village,16
Dagamtenga-Peulh,village,16
Cella-De-Louanga,village,16
Chef-Lieu Kpuere,village,16
Haini-Clinganaye,village,16
Kourit-Bil-Yargo,village,16
Tansoba-Imiougou,village,16
Mamassi-Faoubile,village,16
Bonessin-Dagoule,village,16
Garga-Yentandeni,village,16
Dakpolo-Folapouo,village,16
Pella-Tibitiguia,village,16
Bissiga-De-Gando,village,16
Dankana-Nabagone,village,16
Essakane-Village,village,16
Opor-Kakalapouor,village,16
Dionsera-Birifor,village,16
Boudry-Chef-Lieu,village,16
Zeguedega-Poesse,village,16
Youmpoa-Tiopanao,village,16
Labola-Kassianra,village,16
Gassel-Doundehi,village,15
Lira-Tangassogo,village,15
Pouytenga Peulh,village,15
Mafoulou-Foulbe,village,15
Bedogo-Silmissi,village,15
Lefourba-Foulbe,village,15
Villianga-Mossi,village,15
Tiongo-Lampiadi,village,15
Toulguere-Peulh,village,15
Mougounougoboko,village,15
Ouavousse-Mossi,village,15
Bouroum-Bouroum,village,15
Zanawa-Pougouli,village,15
Kanabissi-Sanga,village,15
Gassel-Loussobe,village,15
Waldjoaga-Peulh,village,15
Boungou-Natimsa,village,15
Boguel-Fassoure,village,15
Binguiim-Noghin,village,15
Vilianga-Gourma,village,15
Fadar-Fadar-Sud,village,15
Pognoa-Sankoado,village,15
Kouadigou-Yamba,village,15
Bamboaringnabou,village,15
Zougloum-Tonsgo,village,15
Dienbende-Diori,village,15
Labola-Sankrala,village,15
Iklan-Idomossen,village,15
Labola-Nambalfo,village,15
Niangre-Tansoba,village,15
Liguidi-Malguem,village,15
Kapelgo-Tangaye,village,15
Gnassoumadougou,village,15
Nagreongokodogo,village,15
Bayandi-Tanguin,village,15
Bouloum-Nabyiri,village,15
Ramongo-Tanguin,village,15
Boussouma-Peulh,village,15
Salbisgo-Dapoya,village,15
Salbisgo-Itaore,village,15
Diapangou-Peulh,village,15
Kalsagado-Mossi,village,15
Kalsagado-Peulh,village,15
Nabilpaga-Yorgo,village,15
Gnagtenga Gogma,village,15
Manegtaba-Mossi,village,15
Kalsagado-Samba,village,15
Tapoa-Diagoabri,village,15
Bongola-Marense,village,15
Sare-De-Guirgho,village,15
Dallera-Helmira,village,15
Kiougou-Kandaga,village,15
Sanspelga-Mossi,village,15
Kodjoani-Leoura,village,15
Sagbtinga-Yarce,village,15
Gnassoumabougou,village,15
Nioussi-Tangaye,village,15
Bayandi-Nabyiri,village,15
Koratenga-Peulh,village,15
Nandiala-CENTRE,village,15
Tanvousse-Peulh,village,15
Boudtenga-Peulh,village,15
Boulmontchangou,village,15
Bouloye-Siguidi,village,15
Welde-Katchirga,village,15
Bidi-Peul-Thiou,village,15
Bouloye-Thiouly,village,15
Foutouri-Gourma,village,15
Kalagre-Rimaibe,village,15
Digatao-Rimaibe,village,15
Mouroukoudougou,village,15
Toulgou-Ouedogo,village,15
Toulgou-Nakomse,village,15
Bonzan-Pougouli,village,15
Bidi-Silmimossi,village,15
Winde-Djibairou,village,15
Gampoudgo-Peulh,village,15
Tambissoanguima,village,15
Kassolo-Tiabona,village,15
Villy-Nadioulou,village,15
Noumoukiedougou,village,15
Tanvousse-Mossi,village,15
Tanghin-Goundry,village,15
Tanghin-Gombogo,village,15
Goungre-Tangaye,village,15
Aurel-Balinguel,village,15
Ouitenga-Poecin,village,15
Kondibito-Mossi,village,15
Sabouri-Natenga,village,15
Bougre-De-Youga,village,15
Kokosse-Tandaga,village,15
Bourma-De-Zoaga,village,15
Bougre-De-Zoaga,village,15
Gbomblora-Kpena,village,15
Baskoudre-Mossi,village,15
Sabouri-Nakoara,village,15
Malenga-Nagsore,village,15
Nassoog-Tanghin,village,15
Daboura-Konkoro,village,15
Daboura-Gantora,village,15
Temnaore-Foulbe,village,15
Sanwara-Timkiro,village,15
Tenonghin-Peulh,village,15
Kompieli-Wapali,village,15
Nagraogo-Foulce,village,15
Tansoba-Tanguin,village,15
Baskoudre-Peulh,village,15
Nagraongo-Mossi,village,15
Danhal-Kpangara,village,15
Plateau-Central,region,15
Malba-Campement,village,15
Nongfaire-Mossi,village,15
Kondibito-Peulh,village,15
Bouroum-Bouroum,departement,15
Moabie-Boungou,village,14
Kalsaka-Foulbe,village,14
Kongnym-Sanbin,village,14
Barganse-Peulh,village,14
Rapadama-Peulh,village,14
Lanfiera-Koura,village,14
Lanfiera-Coura,village,14
Pougouzaitenga,village,14
Dougoudioulama,village,14
Pougouzaibaogo,village,14
Sabrabinatenga,village,14
Gnangbalandouo,village,14
village de Bon,village,14
Soumara-Boumba,village,14
Gbongbo-Zodoun,village,14
Pouswaka-Peulh,village,14
Bagbin-Noungou,village,14
Ounzeogo-Peulh,village,14
Tankougounadié,departement,14
Pambie-Sokoura,village,14
Pognoa-Tikonti,village,14
Tin-Zonbaraten,village,14
Barkana-Foulbe,village,14
Kangare-Foulbe,village,14
Kel-Tamisgueit,village,14
Kougroussoukou,village,14
Tambella-Mossi,village,14
Gargaoua-Peulh,village,14
Wayen-Rapadama,village,14
Taliere-Sagnon,village,14
Soungalobougou,village,14
Toessin-Foulbe,village,14
Liguidmalguema,village,14
Lo-Polobiessan,village,14
Dohoure-Foulbe,village,14
Boukeo-Birifor,village,14
Dagninikorosso,village,14
Koul-Campement,village,14
Sourousourouna,village,14
Orkopouo-Ville,village,14
Adiarey-Diarey,village,14
Toulgou-Kanrin,village,14
Niaogho-CENTRE,village,14
Toukoro-Sambla,village,14
Gorouol-Galole,village,14
Boundougnoudji,village,14
Berenga-Foulbe,village,14
Bangataka-Lere,village,14
Dindiaradougou,village,14
Doudou-Birifor,village,14
Ouangolodougou,village,14
Sankoun-Dougou,village,14
Kouremagafesso,village,14
Foutouri-Peulh,village,14
Tiebadialofaso,village,14
Ouaregou-Peulh,village,14
Gountoure-Kiri,village,14
Bayandi-Palogo,village,14
Bassemkoukouri,village,14
Bobo-Dioulasso,departement,14
Zomnogo-Bangre,village,14
Sourougoudinga,village,14
Bosseye-Barabe,village,14
Bosseye-Dogabe,village,14
Niankorodougou,departement,14
Gassel-Biankou,village,14
Gassel-Tepaoua,village,14
Songodin-Yarce,village,14
Ouayalghin V10,village,14
Baguemaskierga,village,14
Konbons-Youngo,village,14
Goseye-Village,village,14
Ouayalghin V11,village,14
Gounghin-Petit,village,14
Kombanguembedo,village,14
Koul-Pone-Gane,village,14
Zigla-Koulpele,village,14
Sougoud-Saabin,village,14
Tanghin-Manega,village,14
Bouloumbougdin,village,14
Bangassi-Koura,village,14
Nienega-Foulbe,village,14
Kankagraboguin,village,14
Moussobadougou,village,14
Nongsom-Foulbe,village,14
Tisselin-Yarce,village,14
Lokosso-Dioula,village,14
Tangonko-Peulh,village,14
Kankansi-Peulh,village,14
Koutoula-Yarce,village,14
Guemsogo-Yarce,village,14
village de Ton,village,14
Sanewabo-Yarce,village,14
Yarga-Lampiadi,village,14
Niankorodougou,village,14
Dangouindougou,village,14
Ouahirmabougou,village,14
Ourfare-Djouma,village,14
Komtoega-Peulh,village,14
Zomkalga-Mossi,village,14
Foulbado-Mossi,village,14
Komboassikpeli,village,14
Goulguin-Yarce,village,14
Tounougou-Tone,village,14
Bamguel-Baguel,village,14
Boguel-Tiaboli,village,14
Gounghin-Grand,village,14
Dougouri-Ouidi,village,14
Bassanga-Peulh,village,14
Dossa-Bourondi,village,14
Guirb-Loundogo,village,14
Ouagande-Mossi,village,14
Diarra-Betongo,village,14
Ouagande-Peulh,village,14
Boanboantangou,village,14
Sabouri-Sonkin,village,14
Diankoudoungou,village,14
Samandin-Peulh,village,14
Tohera-Soupera,village,14
Konzeogo-Yalgo,village,14
Tandjeguenedji,village,14
Bagahoko-Yarce,village,14
Naninssouangui,village,14
Bagahoko-Mossi,village,14
Kalagre-Foulbe,village,14
Pentinga-Peulh,village,14
Tampelga-Yarce,village,14
Dinguila-Peulh,village,14
Konkoara-Yarce,village,14
Timbarbitionao,village,14
Zinka-Folapouo,village,14
Zodoun-Tampouo,village,14
Mobgowindtenga,village,14
Dem-Bila-Mossi,village,14
Oueguedo-Yarce,village,14
Tantiaka-Yamba,village,14
Kourbera-Poura,village,14
Lemouroudougou,village,14
Lioulgou-Peulh,village,14
Silom-Nabateon,village,14
Kolongondiesse,village,14
Silom-Folapouo,village,14
Diakarga-Peulh,village,14
Tampourkolkome,village,14
Yamsinde-Yarce,village,14
Yamsinde-Mossi,village,14
Dakpolo-Gompar,village,14
Debere-Dioulde,village,14
Gam-Silmimosse,village,14
Labola-Foukara,village,14
Rambo-Watinoma,village,14
Tambella-Peulh,village,14
Kamseogo-Peulh,village,14
Oueguedo-Peulh,village,14
Napo-Nabilpaga,village,14
Ramdolla-Mossi,village,14
Tin-Rhassane 2,village,14
Tin-Rhassane 1,village,14
Kampelse-Zougo,village,14
Tibtenga-Mossi,village,14
Tokera-Bankoro,village,14
Poucouma-Ramsa,village,14
Petel-Karkalle,village,14
Ramdolla-Peulh,village,14
Bogonam-Foulbe,village,14
Tankougounadie,village,14
Issiri-Yaoghin,village,14
Donkua-Namyare,village,14
Boungou-Folgou,village,14
Dem-Bila-Peulh,village,14
Bori-Kouladori,village,14
Tibtenga-Fulbe,village,14
Tin-Zalayanane,village,14
Diomanidougou,village,13
Bandaga-Mossi,village,13
Tensobentenga,village,13
Toghin-Bangre,village,13
Gorouol-Kadje,village,13
Monguel-Diara,village,13
Gnaminadougou,village,13
Mitieridougou,village,13
Bissiga-Mossi,village,13
Lemnogo-Mossi,village,13
Tambogo-Peulh,village,13
Rassempoughin,village,13
Lemnogo-Peulh,village,13
Foullou-Yarce,village,13
Bilanga-Yanga,village,13
Poura-Village,village,13
Bara-Yankasso,village,13
Bilanga-Peulh,village,13
Gombogo-Peulh,village,13
Tougouya-Koko,village,13
Nebielianayou,village,13
Bandaga-Peulh,village,13
Koupela-Peulh,village,13
Toussougtenga,village,13
Beguedo-Peulh,village,13
Bandeo-Napone,village,13
Tengand-Tanga,village,13
