place,type,latitude,longitude,Flood,Fire,Drought,Storm,Tornado,FloodPeak,Thunderstorm,Desertification,Deforestation,Landslide,Collapse,AgriculturalCampaign,PriceIncrease
Bagré,village,11.475277777,-0.545,0,0,0,0,0,0,0,0,0,0,0,0,0
Banh,village,14.081666666,-2.445555555,0,0,0,0,0,0,1,0,0,0,0,0,0
Bobo-Dioulasso,departement,11.1785,-4.30688,2,3,1,0,0,0,0,0,0,0,0,1,1
Bogandé,village,12.9714,-0.1436,1,0,0,0,0,0,0,0,0,0,0,0,0
Bogodogo,village,12.352264202910307,-1.4886685236347486,1,0,0,0,0,0,0,0,0,0,0,0,0
Boussé,departement,12.66055556,-1.89222222,0,0,0,0,1,0,0,0,0,0,0,0,0
Burkina,country,12.2383,-1.5616,9,2,0,0,0,0,0,1,1,0,1,2,14
Bérégadougou,village,10.766666666,-4.75,0,0,0,0,0,0,0,0,0,0,0,0,2
Centre-Est,region,11.5,-0.25,0,0,0,0,0,0,0,0,0,0,0,1,0
Centre-Nord,province,13.25,-1.083333333,1,0,0,1,0,0,0,0,0,0,0,1,0
Centre-Ouest,region,12.2549, -2.3688,0,0,0,1,0,0,0,0,0,0,0,0,0
Centre-Sud,region,11.75,-2.25,0,0,0,0,0,0,0,0,0,0,0,1,0
Djibo,departement,14.101111111,-1.630555555,0,0,0,0,0,0,0,0,0,0,0,0,0
Dédougou,departement,12.4621,-3.4579,0,0,0,0,0,1,0,0,0,0,0,0,0
Est,region,12.083333333,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0
Gounghin,village,12.157358,-0.058365,0,0,0,0,0,0,0,0,0,0,0,0,1
Hauts-Bassins,region,11.25,-4.5,1,0,0,0,0,0,0,0,0,0,0,2,0
Karfiguela,village,10.7,-4.816666666,0,0,0,0,0,0,0,0,0,0,0,1,0
Kaya,departement,13.083333333,-1.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0
Kompienga,departement,11.41666667,0.91666667,0,0,0,0,0,0,0,0,0,0,0,0,0
Komsilga,village,13.066275,-0.955387,0,0,0,0,0,0,0,0,0,0,0,0,0
Koudougou,departement,12.2482,-2.36222,0,0,0,0,0,0,1,0,0,0,0,0,0
Kénédougou,province,11.41666667,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laye,village,12.5264,-1.7725,0,0,0,0,2,0,0,0,0,0,0,0,0
Loumbila,departement,12.519166666,-1.370555555,0,0,0,0,0,0,0,0,0,0,0,0,0
Léo,departement,11.1,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nama,village,13.850, -0.833333,0,0,0,0,0,0,0,0,0,0,0,0,1
Nayalgué,village,11.75,-1.316666666,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre-Nord,region,13.1724464,-0.9056623,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouagadougou,departement,12.35,-1.516666666,18,3,0,1,0,1,1,1,0,0,0,0,7
Ouanga,village,14.227826,-1.973103,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouarkoye,departement,12.08333333,-3.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0
Paspanga,village,12.118465,-0.444437,3,1,0,0,0,0,0,0,0,0,0,0,0
Pissy,village,12.3452742,-1.5665222,2,0,0,0,0,0,0,0,0,0,0,0,0
Plateau Central,region,12.2537648,-0.7532809,0,0,0,1,2,0,0,0,0,0,0,0,0
Sahel,region,14.2500, -0.7500,0,0,1,0,0,1,0,0,0,0,0,1,0
Sidéradougou,departement,10.71472222,-4.27361111,0,0,0,0,0,0,0,0,0,0,0,0,0
Sud-Ouest,region,10.32556,-3.0925,0,0,0,0,0,0,0,0,0,0,0,2,0
Sya,village,11.178,-4.2961,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangzougou,village,11.999361,-2.019972,0,0,0,1,1,0,0,0,0,0,0,0,0
Tannounyan,region,10.633333333,-4.75,0,0,0,0,0,0,0,0,0,0,0,3,0
Titao,departement,13.7667353,-2.0736431,0,1,0,0,0,0,0,0,0,0,0,0,0
Tougan,village,13.066666666,-3.066666666,2,0,0,0,0,0,0,0,0,0,0,0,0
Tougouri,village,13.313055555,-0.527222222,1,0,0,0,0,0,0,0,0,0,0,0,0
Yalgo,village,13.5881,-0.265378,0,0,0,0,0,0,0,0,0,0,0,0,0
Yatenga,province,13.58333334,-2.41666668,0,0,0,0,0,0,0,0,0,1,0,0,0
Yé,village,12.6904,-3.11042,0,0,0,0,0,0,0,0,0,0,0,0,0
Zongo,village,12.545,-1.393611111,0,0,0,0,0,0,0,0,0,0,0,0,1
