article_id,segment_id,segment_text,annee,entity_location,entity_date,entity_location_cam,entity_date_cam,publication_date,heidletime_dates,real_entity_location,real_entity_location_cam,similarity_score,best_term,concept,theme,neutral
0,0,"Insécurité alimentaire en milieu urbain : La ville de Ouagadougou menacée.jeudi 15 janvier 2009 à 02h23min.Le Comité permanent inter-Etats de lutte contre la sécheresse dans le Sahel CILSS et lInstitut de recherche pour le développement IRD ont organisé le 14 janvier 2009, un atelier de restitution des résultats de lenquête sur la vulnérabilité alimentaire en milieu urbain. La ville de Ouagadougou est menacée par linsécurité alimentaire, et le phénomène de la vie chère a aggravé la situation. Car le nombre de repas a été réduit et la qualité aussi. Ce nest pas parce quon vit en ville que lon a une sécurité alimentaire, a déclaré Issa Martin Bikienga, ingénieur agro-économiste et secrétaire exécutif adjoint du CILSS. Cétait lors de latelier de restitution des résultats de lenquête sur la Vulnérabilité alimentaire au milieu urbain VAMU organisé par le CILSS et lInstitut de recherche pour le développement IRD, le 14 janvier 2009 à Ouagadougou. En effet, une enquête a été organisée dans la ville de Ouagadougou pour y estimer la situation de la vulnérabilité alimentaire à travers un échantillon de trois mille ménages répartis dans 60 zones. Car, lurbanisation est un phénomène en pleine expansion et la pauvreté saccentue dans les villes, si bien que le phénomène dinsécurité alimentaire touche de plus en plus de ménages, en pourcentage comme en nombre absolu. Cest pourquoi lobjectif de létude a été, selon les présentateurs, Bernard Dembélé et Elodie Becquey, dévaluer lefficacité de différents outils pour mesurer et caractériser la vulnérabilité alimentaire des ménages dans la ville de Ouagadougou, afin de servir les analyses nationales du système dalerte précoce au Burkina. Les résultats de létude ont montré que la diversité alimentaire était assez basse à Ouagadougou, soit 5,66 groupes alimentaires consommés par jour sur 14 groupes en 2007. Aussi, 52 des ménages étaient identifiés en",2009,"[""'Ouagadougou'"", ""'Ouagadougou'"", ""'Ouagadougou'"", ""'Ouagadougou'"", ""'Ouagadougou'"", ""'Ouagadougou'""]","['14 janvier 2009', '14 janvier 2009']","[""'Ouagadougou'"", ""'Ouagadougou'"", ""'Ouagadougou'"", ""'Ouagadougou'"", ""'Ouagadougou'"", ""'Burkina'"", ""'Ouagadougou'""]","['udi 15 janvier 2009 à 02h', 'le 14 janvier 2009 à', 'en 2007.']",2009-01-15,"['2009-01-15', '2009-01-14', '2009-01-14', '2007']","{'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 6}}","{'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 6}, 'Burkina Faso': {'type': 'country', 'lat': '12.0753083', 'lon': '-1.6880314', 'count': 1}}",0.67219275,crise alimentaire,famine,alimentaire,0
0,1,"ont montré que la diversité alimentaire était assez basse à Ouagadougou, soit 5,66 groupes alimentaires consommés par jour sur 14 groupes en 2007. Aussi, 52 des ménages étaient identifiés en insécurité moyenne ou sévère. Deux outils ont été utilisés, à savoir, le score de diversité alimentaire et léchelle dinsécurité alimentaire pour atteindre les objectifs de létude. Ces outils ont montré que les ménages les plus pauvres, sans revenus réguliers, à forte dépendance économique ou démographique, dont les chefs de ménages étaient les plus âgés, qui ont un peu de stocks alimentaires, consomment principalement des aliments de rue ou les produits de brousse ont été identifiés comme appartenant aux catégories les plus précaires de diversité alimentaire et dinsécurité alimentaire. Aussi, les enfants issus de ces milieux ont 2,3 fois de retard sur leur croissance. Cest pourquoi pour Issa Martin Bikienga, la situation appelle à une surveillance de lalimentation. Il ne suffit pas de manger en quantité, mais aussi en qualité. Il faut connaître les aliments accompagnés de conseils pratiques pour être en bonne santé et contribuer au développement du pays, a affirmé M. Bikienga. Jonathan YAMEOGO Sidwaya",2009,"[""'Ouagadougou'""]",['2007'],"[""'Ouagadougou'""]",['en 2007.'],2009-01-15,['2007'],"{'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 1}}","{'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 1}}",0.7264272,inégalité alimentaire,inégalité alimentaire,sociopolitique,0
1,1,"actuellement, ne sont pas au mieux de leur taux de remplissage. Par conséquent, loffre globale en production délectricité de la SONABEL est en deçà des besoins des populations. La situation est suffisamment sérieuse car selon le chef de service hydroélectrique de la SONABEL, Founéné Millogo, on a frôlé la catastrophe ! A un moment donné, à Bagré, le niveau deau était devenu tellement bas quon a failli arrêter la production. La production de lénergie hydroélectrique nécessite la présence dune grande quantité deau dans les barrages pour faire tourner les turbines Pour les semaines à venir, le déficit en électricité pour le CRCO sera de 11 à 9 mégawatts. Ce déficit, selon Adama Tou, se résorbera progressivement pour atteindre une situation déquilibre vers la mi-septembre. La situation dapprovisionnement normale sera rétablie à la fin de lannée en cours avec la mise en service de linterconnexion Bobo- Ouagadougou. En attendant, la SONABEL annonce un plan de délestage léger pour les deux semaines à venir. Et pour le reste de la période jusquà la fin de lannée, les techniciens de la SONABEL estiment que des délestages en cas de besoin, devraient permettre de rétablir léquilibre offre-demande. Pour linstant, seuls linstallation des pluies et un bon niveau de remplissage des barrages de Bagré et de Kompienga permettront datténuer les souffrances des populations. Toujours dans ce sens, en plus de la réalisation de linterconnexion Bobo-Ouagadougou, la construction dune centrale thermique de 18 mégawatts à Komsilga viendra accroître loffre en électricité pour le Centre régional de consommation de Ouagadougou. Rabankhi Abou-Bâkr ZIDA rabankhiyaoo.fr Sidwaya",2009,"[""'Bagré'"", ""'Ouagadougou'"", ""'Bagré'"", ""'Kompienga'"", ""'Komsilga'"", ""'Ouagadougou'""]",['mi-septembre'],"[""'Bagré'"", ""'CRCO'"", ""'Bobo'"", ""'Ouagadougou'"", ""'Bagré'"", ""'Kompienga'"", ""'Bobo-Ouagadougou'"", ""'Komsilga'"", ""'Centre régional de consommation de Ouagadougou'""]","['mi-septembre', 'fin de lannée en', 'deux semaines', 'fin de lannée']",2009-08-03,"['2009-08-03', '2011', '2009-09']","{'Bagré': {'type': 'department', 'lat': '11.53945365', 'lon': '-0.5195279577063107', 'count': 2}, 'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 2}, 'Kompienga': {'type': 'province', 'lat': '11.44875915', 'lon': '0.9770378186762776', 'count': 1}, 'Komsilga': {'type': 'department', 'lat': '12.164079999999998', 'lon': '-1.6164110058345758', 'count': 1}}","{'Bagré': {'type': 'department', 'lat': '11.53945365', 'lon': '-0.5195279577063107', 'count': 2}, 'Bobo-Dioulasso': {'type': 'city', 'lat': '11.1765796', 'lon': '-4.2961436', 'count': 1}, 'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 1}, 'Kompienga': {'type': 'province', 'lat': '11.44875915', 'lon': '0.9770378186762776', 'count': 1}, 'Komsilga': {'type': 'department', 'lat': '12.164079999999998', 'lon': '-1.6164110058345758', 'count': 1}}",0.68619335,désapprovisionnement,rupture de stock alimentaire,agriculture,0
2,0,"Prévision pluviométrique des mois de juillet-août-septembre : Les météorologues donnent des conseils pratiques.vendredi 5 juin 2009 à 02h04min.Le ministère des Transports, en collaboration avec la Direction générale de laviation civile et de la météorologie DGACM, a organisé mercredi 3 juin 2009 à Ouagadougou, une conférence de presse sur la prévision saisonnière des pluies des trois prochains mois. Il est attendu une pluviométrie normale à tendance déficitaire. Cest ce qui ressort de la prévision saisonnière du cumul pluviométrique des mois de juillet-août-septembre JAS 2009 au Burkina Faso. Linformation déjà annoncée par certaines structures comme le CILSS, a été confirmée par la Direction générale de laviation civile et de la météorologie DGACM, à la conférence de presse tenue mercredi 3 juin 2009 à Ouagadougou. Il sest agi pour les conférenciers de présenter les résultats de la prévision pluviométrique aux journalistes. A cette occasion, les météorologues ont donné des conseils pratiques aux différents secteurs socioéconomiques en rapport avec la prévision saisonnière JAS 2009. La présentation des résultats a été faite par lingénieur météorologue, Wango Moussa. Ainsi, il ressort selon M. Wango, que pour la zone Nord du Burkina Faso, cest-à-dire les régions situées au Nord de laxe Djibo-Sebba, par exemple, le cumul pluviométrique prévu pour les mois de Juillet-août-septembre JAS variera de 250 à 375 mm. Quant à la zone centrale du pays entre laxe Djibo-Sebba et laxe Sindou-Bobo-Dioulasso-Fara, le cumul pluviométrique prévu pour les trois mois sétablira entre 371 et 580 mm. Enfin, pour la zone Sud-Ouest région située au Sud de laxe Sindou-Bobo-Dioulasso-Fara, le cumul pluviométrique prévu pour la même période, variera de 581 à 750 mm. De lavis de lexposant, les chiffres dans toutes les trois zones, témoignent dune pluviométrie normale à tendance déficitaire. Ce qui veut dire que le cumul pluviométrique des mois de juillet-août-septembre 2009 pourrait être conforme",2009,"[""'Ouagadougou'"", ""'Ouagadougou'"", ""'laxe Djibo-Sebba'"", ""'laxe Djibo-Sebba'"", ""'laxe Sindou-Bobo-Dioulasso-Fara'"", ""'laxe Sindou-Bobo-Dioulasso-Fara'""]","['vendredi 5 juin 2009', 'mercredi 3 juin 2009', 'mercredi 3 juin 2009', 'juillet-août-septembre 2009']","[""'Ouagadougou'"", ""'Burkina Faso'"", ""'Ouagadougou'"", ""'Nord'"", ""'Burkina Faso'"", ""'Nord'"", ""'axe Djibo-Sebba'"", ""'axe Djibo-Sebba'"", ""'axe Sindou-Bobo-Dioulasso-Fara'"", ""'Sud-Ouest'"", ""'Sud'"", ""'axe Sindou-Bobo-Dioulasso-Fara'""]","['endredi 5 juin 2009 à 02h04min', 'mercredi 3 juin 2009 à', 'trois prochains mois', 'septembre JAS 2009', 'mercredi 3 juin 2009 à', 'AS 2009.', 'Juillet-août-septembre J', 'trois mois', 'juillet', 'septembre 2009']",2009-06-05,"['2009-07', '2009-08', '2009-09', '2009-06-05', '2009-06-03', '2009-07', '2009-08', '2009-09', '2009', '2009-06-03', '2009', '2008-07', '2008-08', '2008-09', '0250', '0581', '2009-07', '2009-08', '2009-09']","{'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 2}}","{'Ouagadougou': {'type': 'city', 'lat': '12.3681873', 'lon': '-1.5270944', 'count': 2}, 'Burkina Faso': {'type': 'country', 'lat': '12.0753083', 'lon': '-1.6880314', 'count': 2}, 'Nord': {'type': 'region', 'lat': '13.45911', 'lon': '-2.2496367403016495', 'count': 2}, 'Sud-Ouest': {'type': 'region', 'lat': '10.38692085', 'lon': '-3.283188627811005', 'count': 1}}",0.7176403,précipitations,pluie,agriculture,1
2,1,"les chiffres dans toutes les trois zones, témoignent dune pluviométrie normale à tendance déficitaire. Ce qui veut dire que le cumul pluviométrique des mois de juillet-août-septembre 2009 pourrait être conforme à la moyenne des trente dernières années. Il est aussi probable que ce cumul soit en-deçà de la moyenne des 30 dernières. Cest à juste titre que les météorologues demandent à la population burkinabè dadopter certains comportements en vue déviter ou datténuer certains désagréments éventuels. Les conseils pratiques donnés par la technicienne, Judith Sanfo, concernent les différents secteurs socioéconomiques : agriculture, élevage, santé, environnement, industrie, etc. voir encadré. A entendre les responsables de la Direction générale de laviation civile et de la météorologie DGAM, ces différents conseils ont été élaborés en complicité avec les acteurs de tous les domaines concernés. Les conférenciers reconnaissent que les prévisions météorologiques peuvent avoir des imperfections à linstar de toute œuvre humaine. Toutefois, ils demandent aux populations de suivre les conseils établis sur la base détudes approfondies. Selon le directeur général de la DGACM, Moumouni Diéguemdé, la nature na pas encore été totalement domptée, mais mieux vaut prévenir que guérir. De son côté, le directeur de la météorologie, Ali Jacques Garané, est également davis quil est bon davoir les informations à temps pour prendre des précautions au moment idéal. Au nombre des mesures palliatives, le programme Saaga pluies provoquées par ensemencement des nuages pourrait intervenir, ont soutenu les conférenciers. La prévision saisonnière est faite sur la pluviométrie cumulée des mois de juillet-août-septembre durant lesquels est généralement enregistré plus de 80 de la pluviométrie de la saison. Cette prévision est élaborée par des experts de 17 services météorologiques et hydrologiques nationaux de la sous-région sous légide du Centre africain pour les applications de la météorologie au développement ACMAD, de lOrganisation météorologique mondiale OMM, de Météo France,",2009,[''],"['juillet-août-septembre 2009', 'juillet-août-septembre']","[""'GACM'""]","['juillet', 'août-septembre 2009', 'des trente dernières années', '30 dernières', 'juillet']",2009-06-05,"['2009-07', '2009-08', '2009-09', '2008-07', '2008-08', '2008-09', '1980']",{},{},0.6785468,mauvaise pluviométrie,sécheresse,environment,0
2,2,"services météorologiques et hydrologiques nationaux de la sous-région sous légide du Centre africain pour les applications de la météorologie au développement ACMAD, de lOrganisation météorologique mondiale OMM, de Météo France, du service météorologique britannique UKMO, de lInstitut de recherche internationaleIRI. Alban KINI alban_kiniyahoo.fr Conseils pratiques aux différents secteurs socioéconomiques en rapport avec la prévision saisonnière JAS 2009 1. Agriculture privilégier les champs de bas-fonds sur les champs de plateau, ne semer que des variétés très résistantes au déficit en eau choisir des méthodes daménagement des champs qui favorisent la conservation des eaux buttage choisir des variétés culturales à cycle court et résistantes au déficit en eau planifier un démarrage précoce des activités de contre-saison planifier le recours à lirrigation complémentaire dappoint. 2. Elevage se préparer à la collecte précoce et au stockage de quantité importante de fourrage avant la lignification planifier un départ précis des troupeaux en transhumance vers des zones plus favorables éviter le gaspillage de leau des retenues. 3. Industrie hydroélectricité : le stock deau risque de ne pas atteindre le volume optimal en conséquence, la production dhydroélectricité risque dêtre réduite. Il faut alors prévoir : une gestion rigoureuse des ressources hydriques le recours à une compensation plus importante par la production énergétique aux hydrocarbures industries utilisant beaucoup deau : adapter les projections de production à la prévision saisonnière. 4. Environnement prévoir des plans de protection des écosystèmes humides ou sensibles au stress hydrique déficit en eau. 5. Aménagement territorial tenir compte du risque de réduction des stocks deau utilisables dans la planification des travaux publics. 6. Secteur socialgestion des catastrophes en principe, il y a moins de risques dinondation quen année humide, mais la prévision ne se rapportant quà la qualité du cumul pluviométrique des mois de juillet-août-septembre, il ny a pas dinformation sur la répartition dans",2009,[''],[],[''],"['2009', 'année humide', 'juillet', 'septembre']",2009-06-05,"['2009-07', '2009-08', '2009-09']",{},{},0.6013613,précipitations,pluie,agriculture,1
2,3,"risques dinondation quen année humide, mais la prévision ne se rapportant quà la qualité du cumul pluviométrique des mois de juillet-août-septembre, il ny a pas dinformation sur la répartition dans lespace et le temps spatio-temporelle de ce fait, la vigilance reste de mise se préparer à des interventions dassistance durgence en cas de mauvaises récoltes se préparer à la prévention ou la gestion des conflits liés à loccupation des espaces agropastoraux. 7. Santé paludisme : surveiller son incidence disponibilité et persistance des flaques deau propices à la reproduction des anophèles choléra : accroître la vigilance au moment des premières pluies dysenteriesdiarrhées : renforcer lhygiène. A.K. Source : document de la DGACM",2009,[''],['juillet-août-septembre'],[''],['juillet'],2009-06-05,"['2009-07', '2009-08', '2009-09']",{},{},0.68196243,mauvaise pluviométrie,sécheresse,environment,0
3,1,"services postaux, aux mines, etc. Quant à la protection sociale, le conférencier a indiqué quelle concerne lensemble des programmes dactions mis en oeuvre pour pourvoir aux individus et aux familles des prestations essentielles à même de les protéger des risques en vue de leur procurer un niveau de vie décent. De nos jours, a-t-il poursuivi, le dispositif protection sociale a été élargi aux travailleurs indépendants des professions libérales et à ceux de léconomie informelle. Mais il ne prend que partiellement en compte le risque lié à la maladie. Pour combler ce vide, des organisations de la société civile ont mis en place des mutuelles de santé qui se trouvent assez limitées. Des régimes médicaux dentreprises ont aussi cours financés en partie ou entièrement par lemployeur ainsi que des produits dassurance maladie développées par des compagnies privées. Toutes ces initiatives, a-t-il indiqué, se caractérisent par leurs coûts peu accessibles limitant ainsi le nombre de bénéficiaires. Lassurance maladie relève-t-elle du service public ? La réponse du conférencier est sans ambages. La protection sociale contre le risque maladie est un besoin dintérêt général selon le ministre Bougouma. Le Burkina Faso a pris la pleine mesure de cette situation et a déjà entrepris des initiatives. Et ce qui a conduit le ministre du Travail à aborder le projet gouvernemental de mise en place dun système national dassurance maladie, qui devrait fédérer les efforts de lEtat, du secteur privé et de la société civile. De lavis de Jérôme Bougouma, ce système devra permettre dassurer une couverture sanitaire de base pour tous les Burkinabè à lhorizon 2015. Il devrait combiner une assurance maladie obligatoire pour le secteur formel, une assurance maladie volontaire pour les acteurs de léconomie informelle urbaine et rurale et un mécanisme dassurance pour les populations indigentes. Il est envisagé la création dune caisse",2009,[''],['2015'],"[""'Burkina Faso'"", ""'lEtat'"", ""'Burkinabè'""]",['2015.'],2009-05-25,['2015'],{},"{'Burkina Faso': {'type': 'country', 'lat': '12.0753083', 'lon': '-1.6880314', 'count': 1}}",0.5682139,moyen de subsistance en danger,famine,alimentaire,0
3,2,"secteur formel, une assurance maladie volontaire pour les acteurs de léconomie informelle urbaine et rurale et un mécanisme dassurance pour les populations indigentes. Il est envisagé la création dune caisse nationale dassurance maladie qui sappuiera techniquement sur des structures spécialisées. Cette structures aura pour mission de faire la promotion dun paquet de prestations de base offre de soins publics et privés, consommables et médicaments essentiels applicable à toute la population. Promotion dun paquet de prestations de base Le ministre Bougouma a confié que les affiliations pourraient être gérées par la Caisse nationale de sécurité sociale CNSS et la Caisse autonome de retraite des fonctionnaires CARFO pour les travailleurs du secteur formel. Pour les acteurs de léconomie informelle urbaine ou rurale, les mutuelles de santé pourraient être sollicitées. Pour le fonctionnement du système national dassurance maladie, le ministre Bougouma nexclut pas lidée de recourir à des financements innovants taxes spéciales en plus des ressources fiscales et des cotisations des assurés. Le ministre Jérôme Bougouma a terminé sa conférence en affirmant que lassurance maladie ne peut être lapanage du seul secteur public : La réussite de ce projet nécessite la mobilisation de toute la société burkinabè ..., a-t-il conclu. Par Dayang-ne-Wendé P. SILGA Le Pays",2009,[''],[],"[""'Le Pays'""]",[],2009-05-25,[],{},{},0.664227,moyen de subsistance en danger,famine,alimentaire,0
4,1,"ont montré leur efficacité à travers un bilan positif, doù le choix de cette localité pour le lancement des campagnes de traitement de masse intégré, saison 2009. Pour ce qui concerne la mise en œuvre de ces campagnes, cela va nécessiter la mobilisation de plus de 3800 agents de santé et 28 000 distributeurs communautaires. Au total, les distributions gratuites de médicaments doivent absorber : 36 millions de comprimés divermectine, 13 millions de comprimés dalbendazole, 17 millions de comprimés de praziquantel, 103 000 tubes de tétracycline pommade, 10 millions de doses dazithromycine en comprimés et en sirop. Ces lots ont été acquis grâce à la donation gratuite des firmes pharmaceutiques, Gaxo Smith Kline et Merck Sharp et Dohme, ainsi quau soutien financier et technique de lUSAID, de lOMS et de RISEAL Europe. Le président de la dernière organisation citée, Bertrand Sellin, a souhaité que les populations puissent prendre une part active sur le terrain, à la lutte contre les maladies tropicales négligées à travers une forte mobilisation lors des distributions gratuites de médicaments, à lexemple de celle de Gangaol. En rappel, les critères didentification des maladies tropicales négligées sont : la localisation géographique toutes les maladies intertropicales, la cible les populations les plus démunies ayant un accès limité aux soins, le peu de développement de moyens thérapeutiques pour la prise en charge de ces maladies dans les pays où elles sévissent, et lexistence de moyens thérapeutiques efficaces, mais hors de portée des populations concernées. Hyacinthe Sanou stagiaire LObservateur Paalga",2009,[''],['saison 2009'],"[""'Gangaol'""]",['2009.'],2009-01-28,['2009'],{},{},0.627988,moyen de subsistance en danger,famine,alimentaire,0
